record_id,redcap_event_name,type_of_event,constitutional_event,constitutional_event_other,state,state_other,year,language,language_other,translation,constitution_complete,coder_name,coder_name_other,codeable,type_coder,peak_identified,court_name,process_type,flowchart,flowchart_conf,actors,rectangles,diamonds,event_notes,did_you_translate,translated_text,translator_name,other_tranlsator_name,process_complete,flowchart_change,which_year_compared,describe_change,significant_change,type_of_change,significance_justification,changes_is_this_a_new_constitution,changes_is_this_a_new_institution,new_institution_explanation,judges_selected_individually_or_slate,describe_selected_individually_or_slate,number_nominators,number_selectors,complication,legislature_involved,changes_notes,changes_over_time_complete
Afghanistan_1979,general_informatio_arm_1,3,[document],,1,,1979,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1979,appointment_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1979,removal_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1980,general_informatio_arm_1,3,[document],,1,,1980,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1980,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1980,removal_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",2,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1980,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1976,"from president appoints to the presidum of the revolutionary council appoints",2,,,3,2,"Court still called the supreme court",4,,10,1,1,3,,1
Afghanistan_1987,general_informatio_arm_1,1,[document],,1,,1987,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1987,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Constitutional Council",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1987,removal_1_arm_1,,,,,,,,,,,6,,4,1,1,"The Constitutional Council",2,,,,,,"Judges are appointed for a term of 6 years.  See Art. 127",,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1987,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1980,"From Presidium of the revolutionary council to president appoints",2,,,1,1,"from the supreme court to the constitutional council",4,,10,1,1,2,,1
Afghanistan_1990,general_informatio_arm_1,1,[document],,1,,1990,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1990,appointment_1_arm_1,,,,,,,,,,,6,,3,1,1,"The Constitutional Council",1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1990,removal_1_arm_1,,,,,,,,,,,6,,3,1,1,"The Constitutional Council",2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_2001,general_informatio_arm_1,3,[document],,1,,2001,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_2001,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_2001,removal_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",2,[document],60,10,4,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_2001,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1987,"From president appoints to king appoints",2,,,3,1,"back to the supreme court",4,,10,1,1,2,,1
Afghanistan_2004,general_informatio_arm_1,1,[document],,1,,2004,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_2004,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",1,[document],60,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_2004,removal_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",2,[document],60,1,2,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_2004,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2001,"From king appoints to president appoints and house endorses",1,4,"from one actor to two ",1,1,"from constitutional council back to supreme court",4,,1,1,2,1,,1
Albania_1914,general_informatio_arm_1,1,[document],,2,,1914,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1914,appointment_1_arm_1,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1914,appointment_2_arm_1,,,,,,,,,,,19,,1,1,1,"Appeal Courts ",1,[document],80,1,1,0,,1,"Article 159. The judicial authorities are: 1. Board  of the elderly; 2. Juges of Peace; 3. Trial Courts; 4. Appeal Courts     Article 164. There will be three courts of appeal whose seats will be fixed by the Government. They are  composed of a president, four councilors, a prosecutor, a substitute, two chancellors, a clerk and two ushers.  They are competent to judge any appeal civil and criminal cases tried by Trial courts.    Article 165. Judges are irremovable. The conditions to be met by judges in all categories regarding appointment, promotion, or revocation will be subject to a special law.",7,,2,,,,,,,,,,,,,,,,,
Albania_1914,removal_1_arm_1,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1914,removal_2_arm_1,,,,,,,,,,,19,,4,1,1,"Appeal Courts ",2,,,,,,,1,"Article 165. Judges are irremovable. The conditions to be met by judges in all categories regarding appointment, promotion, or revocation will be subject to a special law.",7,,2,,,,,,,,,,,,,,,,,
Albania_1914,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,"'The government selects members to the seats of the Courts of Appeals by appointing a president, four councilors, a prosecutor, a substitute, two chancellors, a registrar and two ushers'  Not specified if selected all at once or not",10,1,,3,,1
Albania_1925,general_informatio_arm_1,1,[document],,2,,1925,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1925,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Court of Appeals",1,[document],80,4,3,0,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1925,appointment_2_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Albania_1925,appointment_3_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Albania_1925,removal_1_arm_1,,,,,,,,,,,1,,5,1,1,"Court of Appeals",2,[document],80,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1925,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1914,"Changed from government selects members (a president, four councilors, a prosecutor, a substitute, two chancellors, a registrar and two ushers) to committee generates a short list, ministry of justice nominates, president appoints",1,3,"from government selects to three actors involved",1,2,,2,,1,1,3,2,"Court of appeals",1
Albania_1928,general_informatio_arm_1,1,[document],,2,,1928,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1928,appointment_1_arm_1,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1928,removal_1_arm_1,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1939,general_informatio_arm_1,1,[document],,2,,1939,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1939,appointment_1_arm_1,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1939,removal_1_arm_1,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1946,general_informatio_arm_1,1,[document],,2,,1946,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1946,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1946,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",2,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1946,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1925,"From short-list, unitary nomination, unitary appointment to Election (legislative)",1,5,"from appointment to election",1,1,"Court of appeals in 1925, supreme court in 1946; new constitution in 1946",3,"Four year term and opportunity for re-election",10,1,1,1,,1
Albania_1950,general_informatio_arm_1,2,[document],,2,,1950,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1950,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"High Court",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1950,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",2,[document],,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1950,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1946,"slight--name of the assembly changes. Peoples convention of the Republic to Peoples assembly",2,,,2,3,"1946 peak court listed as supreme court; 1950 the appointment court is listed as high court and the removal court is listed as supreme court; 1955 both listed as high court. I think 1950 might have been the year that it changed...but could also just be a translation difference.",2,"elected. no reason to believe as slate",10,1,1,1,,1
Albania_1955,general_informatio_arm_1,2,[document],,2,,1955,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1955,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"High Court",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1955,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"High Court",2,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1955,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1950,,,,,,,,,,,,,,,1
Albania_1958,general_informatio_arm_1,2,[document],,2,,1958,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1958,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"High Court",1,[document],60,1,0,1,"No change to the judiciary with this amendment. ",,,,,1,,,,,,,,,,,,,,,,,
Albania_1958,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"High Court",2,[document],60,1,0,1,"No change to the judiciary with this amendment. ",,,,,1,,,,,,,,,,,,,,,,,
Albania_1958,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1955,,,,,,,,,,,,,,,1
Albania_1976,general_informatio_arm_1,1,[document],,2,,1976,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1976,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",1,[document],60,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1976,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",2,[document],60,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1976,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1958,"from Assembly election to presidential appointment and assembly approval",1,5,"whether this change is actually significant depends on who nominated for election previously (1958). But now specified as presidential appointment and assembly approval.",1,1,"new constitution. Lots of change in names to the court--high court in 1958, changes to supreme court 1976-1991, then changes to court of cassaiton",4,,1,1,2,1,,1
Albania_1991,general_informatio_arm_1,3,[document],,2,,1991,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1991,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1991,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Supreme Court",2,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1991,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1976,"back to election by assembly",1,5,"again, this depends on who nominates for election, but president no longer specified in flowcharts",3,2,"interim constitution and court styas supreme court until 1992, when it changes to court of cassation",4,,10,1,1,1,,1
Albania_1992,general_informatio_arm_1,2,[document],,2,,1992,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1992,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Court of Assation",1,[document],80,1,0,1,"Wrong peak court!",,,,,0,,,,,,,,,,,,,,,,,
Albania_1992,appointment_2_arm_1,,,,,,,,,,,20,,1,1,1,"Constitutional Court",1,[document],60,2,2,0,"There are 9 judges",,,,,2,,,,,,,,,,,,,,,,,
Albania_1992,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Court of Cassation",2,[document],60,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1992,removal_2_arm_1,,,,,,,,,,,20,,1,1,1,"Constitutional Court",2,,40,1,0,0,"I don't know if this transitory detail is necessary for the flow chart: Article 18: in order to start the rotation of replacing 1/3 of the judges everything 3 years, 3 judges will be chosen to leave after 3 years by choosing lots, and then another 3, 3 years later. The new judges will all serve for 12 years.     ",,,,,1,,,,,,,,,,,,,,,,,
Albania_1992,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1991,"From elected by the peoples assembly to 5 judges elected by the people's assembly and four chosen by president",1,2,"one to two pathways",2,1,"supreme court to constitutional court.  This constitution may or may not be the 1992 constitution. Cline/ccp constititon for 1992 says 1991 consittution updated to 1998.... so may be the wrong constitution",3,"IV 18: 'The term of the three members of the Constitutional Court. selected in the first  election. ends in three years. They are selected by casting lots among each group of  judges elected by the People's Assembly and by the President of the Republic. After  three other years, three other judges are replaced in the same way. by casting lot. The  newly elected judges hold their offices for a 12 year term.'",10,2,1,1,"Nancy updated 27 June 2016 while reconciling. This change not listed in previous data sets/matching as a change",1
Albania_1993,general_informatio_arm_1,2,[document],,2,,1993,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1993,appointment_1_arm_1,,,,,,,,,,,1,,1,1,1,"Court of Cassation",1,[document],60,1,0,1,"No change to the judiciary with this amendment. ",,,,,1,,,,,,,,,,,,,,,,,
Albania_1993,removal_1_arm_1,,,,,,,,,,,1,,1,1,1,"Court of Cassation",2,[document],60,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_1993,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1992,,,,,,,,,,,,,,,1
Albania_1998,general_informatio_arm_1,1,[document],,2,,1998,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_1998,appointment_1_arm_1,,,,,,,,,,,13,,1,1,1,"The Constitutional Court",1,[document],80,2,1,1,"Not clear if anyone else nominates. For the High court, a committee appoints (see I think art 147), but didnt say anything about constitutional court.",,,,,1,,,,,,,,,,,,,,,,,
Albania_1998,removal_1_arm_1,,,,,,,,,,,13,,1,1,1,"The Constitutional Court",2,[document],60,3,5,3,"Unclear on number of actors. looks like the court has final say on all removals. ",,,,,1,,,,,,,,,,,,,,,,,
Albania_1998,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1993,"Back to president appoints and assembly consents",1,5,"Again, depends on who nominates under the election process. But unless it was the president this changes again.",1,1," 1992-3  peak court called the court of cassation. Changes to constitutional court in 1998",1,"9 year term, 'one third of the composition of the constitutional court is renewed every 3 years, according to the procedure determined by law' Part VIII, article 125.3.",1,1,2,1,,1
Albania_2008,general_informatio_arm_1,2,[document],,2,,2008,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_2008,appointment_1_arm_1,,,,,,,,,,,13,,1,1,1,"Constitutional Court",1,[document],80,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_2008,removal_1_arm_1,,,,,,,,,,,13,,1,1,1,"Constitutional Court",2,[document],60,3,5,3,"Uncertain about the number of actors. Looks like the constitutional court gets final say in removing its members.",,,,,1,,,,,,,,,,,,,,,,,
Albania_2008,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1998,,,,,,,,,,,,,,,1
Albania_2008a,general_informatio_arm_1,2,[document],,3,,2008,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_2008a,appointment_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_2008a,removal_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Albania_2012,general_informatio_arm_1,2,[document],,2,,2012,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania_2012,appointment_1_arm_1,,,,,,,,,,,13,,1,1,1,"Constitutional Court",1,[document],80,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,
Albania_2012,removal_1_arm_1,,,,,,,,,,,13,,1,1,1,"Constitutional Court",2,[document],60,3,5,3,"Uncertain on number of actors. Looks like the court has final say on all its removals",,,,,1,,,,,,,,,,,,,,,,,
Albania_2012,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2008,,,,,,,,,,,,,,,1
Algeria_1963,general_informatio_arm_1,1,[document],,4,,1963,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1963,appointment_1_arm_1,,,,,,,,,,,5,,1,1,1,"The Constitutional Council",1,[document],80,2,2,1,"Other members include the President of the Supreme Court and the Presidents of the civil and administrative chambers of the Supreme Court.    NOTE: Article 29 states that the election of deputies to the National Assembly shall be governed by law. The constitution does not outline a method for the appointment of these members to the Constitutional Council, nor does it outline a method for the appointment of the Supreme Court.  ",,,,,1,,,,,,,,,,,,,,,,,
Algeria_1963,appointment_2_arm_1,,,,,,,,,,,20,,1,1,1,"Constitutional Council ",1,[document],40,2,3,0,"(Article 63) the council is made up of various members of the Supreme Court, but I don't know how these members were chosen because its not included in this constitution. Also not sure if that goes in a rectangle or oval.     nancy reconcile note June 2016: Number of institutional actors unclear here-- two actors are involved in choosing extra members, but some positions are automatic members of the court, counting those makes five pathways, but we dont have info on how those actors are chosen.    Changed number of actors here to 2    Note from coder two: 'NOTE: Article 29 states that the election of deputies to the National Assembly shall be governed by law. The constitution does not outline a method for the appointment of these members to the Constitutional Council, nor does it 'outline a method for the appointment of the Supreme Court.'      ",,,,,2,,,,,,,,,,,,,,,,,
Algeria_1963,removal_1_arm_1,,,,,,,,,,,5,,3,1,1,"The Constitutional Council",2,,,,,,"A procedure is not specifically outlined for the removal of members from the Constitutional Council. However, deputies of the National Assembly may be removed from the National Assembly through a proposal by the National Liberation Front and a two-thirds majority vote by the National Assembly. (Article 30)  ",,,,,2,,,,,,,,,,,,,,,,,
Algeria_1963,removal_2_arm_1,,,,,,,,,,,20,,3,1,1,"Constitutional Council",2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1963,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,"president appoints one member and the national assembly appoints three",10,2,1,1,,1
Algeria_1976,general_informatio_arm_1,2,[document],,4,,1976,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1976,appointment_1_arm_1,,,,,,,,,,,5,,4,1,1,"The Supreme Court",1,,,,,,"Article 179: 'The organization, the functioning, and the powers of the Supreme Court shall be fixed by the law.'  ",,,,,2,,,,,,,,,,,,,,,,,
Algeria_1976,appointment_2_arm_1,,,,,,,,,,,20,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1976,removal_1_arm_1,,,,,,,,,,,5,,4,1,1,"The Supreme Court",2,,,,,,"Article 179: 'The organization, the functioning, and the powers of the Supreme Court shall be fixed by the law.'  ",,,,,2,,,,,,,,,,,,,,,,,
Algeria_1976,removal_2_arm_1,,,,,,,,,,,20,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1979,general_informatio_arm_1,2,[document],,4,,1979,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1979,appointment_1_arm_1,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1979,removal_1_arm_1,,,,,,,,,,,5,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1980,general_informatio_arm_1,2,[document],,4,,1980,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1980,appointment_1_arm_1,,,,,,,,,,,5,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1980,removal_1_arm_1,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1980a,general_informatio_arm_1,2,[document],,4,,1980,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1980a,appointment_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1980a,removal_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1988,general_informatio_arm_1,2,[document],,4,,1988,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1988,appointment_1_arm_1,,,,,,,,,,,5,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1988,removal_1_arm_1,,,,,,,,,,,5,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1989,general_informatio_arm_1,2,[document],,4,,1989,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1989,appointment_1_arm_1,,,,,,,,,,,5,,1,1,1,"The Constitutional Council",1,[document],80,3,3,0,"For justification in selecting Constitutional Council over Supreme Court, please see Articles 158-159.   Members of the Supreme Court (from whom two of the members are selected) are unspecified, but seem to be regulated by the High Council of Judiciary and 'conditions determined by law.')  ",,,,,1,,,,,,,,,,,,,,,,,
Algeria_1989,removal_1_arm_1,,,,,,,,,,,5,,4,1,1,"The Constitutional Council",2,,,,,,"According to Article 157, 'The Constitutional Council establishes the rules of its functioning.' According to Article 83, 'The President of the Republic cannot in any case delegate the power to appoint or dismiss the members of the Constitutional Council.' Although the removal of members of the Constitutional Council is not clearly delineated, either or both of these articles may influence it.  ",,,,,1,,,,,,,,,,,,,,,,,
Algeria_1989,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1963,"From two pathways (President appoints and National assembly appoints) to three pathways (Presidented, national assembly, supreme court). Also, size expands from four to six)",1,2,"Change in size and number of pathways",2,1,"from data export--1976 was supreme court; 1989 changed to constitutional council ( but was also constitutional court in 1963 as well)",3,"removal process exlplicitly left to statute, but this process would make more sense if they were all appointed at once/in groups",10,3,1,1,,1
Algeria_1996,general_informatio_arm_1,2,[document],,4,,1996,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria_1996,appointment_1_arm_1,,,,,,,,,,,5,,1,1,1,"The Constitutional Council",1,[document],80,5,5,0,,,,,,1,,,,,,,,,,,,,,,,,
Algeria_1996,removal_1_arm_1,,,,,,,,,,,5,,3,1,1,"The Constitutional Council",2,,,,,,"According to Article 167, 'The Constitutional Council establishes the rules of its functioning.' Although the removal of members of the Constitutional Council is not clearly delineated, this may influence it. Additionally members only serve a six-year term.  ",,,,,1,,,,,,,,,,,,,,,,,
